"occurrenceID","basisOfRecord","type","institutionCode","institutionID","datasetName","datasetID","language","rightsHolder","accessRights","references","ownerInstitutionCode","recordNumber","recordedBy","recordedByID","individualCount","organismQuantity","organismQuantityType","occurrenceStatus","parentEventID","eventID","eventType","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","eventDate","year","month","day","eventTime","habitat","fieldNumber","eventRemarks","locationID","higherGeography","continent","waterBody","country","countryCode","locality","stateProvince","county","minimumDepthInMeters","maximumDepthInMeters","decimalLatitude","decimalLongitude","geodeticDatum","georeferencedBy","identifiedBy","identifiedByID","dateIdentified","verbatimIdentification","scientificName","scientificNameAuthorship","taxonID","scientificNameID","taxonomicStatus","kingdom","phylum","class","order","family","genus","taxonRank"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10:44","HumanObservation","Event","Dirección General Marítima (DIMAR)","830.027.904-1","Fitoplancton Expedición Pacífico 2018 - Cabo Manglares","cecoldo.ide_00010","es","Dirección General Marítima (DIMAR)","Sólo para uso no comercial","https://doi.org/10.26640/cecoldo.ide_00010","Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico - Dirección General Marítima (DIMAR)","Exp.Pacifico2018","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122",0,0,"Células por litro","absent","DIMAR:CCCP:EXP.PACIFICO:2018","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10","Muestra","Red de 20 um","1 L","L","34 muestras de un litro",2018-11-30,2018,11,30,"14:10:00","Zona Nerítica","BME34-10","Bajamar","http://marineregions.org/mrgid/21972","América | Sudamérica | Colombia | Región del Pacífico","América del Sur","Océano Pacífico","Colombia","CO","Cabo Manglares","Nariño","San Andrés de Tumaco",0,1,"1.66775","-79.1605555556","WGS84","Fredy Albeiro Castrillón Valencia","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122","2019-02-11/2019-04-30","Anabaena","Anabaena","Bory de Saint-Vincent ex Bornet & Flahault, 1886","https://www.marinespecies.org/aphia.php?p=taxdetails&id=146585","urn:lsid:marinespecies.org:taxname:146585","accepted","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Anabaena","Género"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10:45","HumanObservation","Event","Dirección General Marítima (DIMAR)","830.027.904-1","Fitoplancton Expedición Pacífico 2018 - Cabo Manglares","cecoldo.ide_00010","es","Dirección General Marítima (DIMAR)","Sólo para uso no comercial","https://doi.org/10.26640/cecoldo.ide_00010","Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico - Dirección General Marítima (DIMAR)","Exp.Pacifico2018","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122",0,0,"Células por litro","absent","DIMAR:CCCP:EXP.PACIFICO:2018","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10","Muestra","Red de 20 um","1 L","L","34 muestras de un litro",2018-11-30,2018,11,30,"14:10:00","Zona Nerítica","BME34-10","Bajamar","http://marineregions.org/mrgid/21972","América | Sudamérica | Colombia | Región del Pacífico","América del Sur","Océano Pacífico","Colombia","CO","Cabo Manglares","Nariño","San Andrés de Tumaco",0,1,"1.66775","-79.1605555556","WGS84","Fredy Albeiro Castrillón Valencia","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122","2019-02-11/2019-04-30","Alexandrium","Alexandrium","Halim, 1960","https://www.marinespecies.org/aphia.php?p=taxdetails&id=109470","urn:lsid:marinespecies.org:taxname:109470","accepted","Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Pyrocystaceae","Alexandrium","Género"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10:46","HumanObservation","Event","Dirección General Marítima (DIMAR)","830.027.904-1","Fitoplancton Expedición Pacífico 2018 - Cabo Manglares","cecoldo.ide_00010","es","Dirección General Marítima (DIMAR)","Sólo para uso no comercial","https://doi.org/10.26640/cecoldo.ide_00010","Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico - Dirección General Marítima (DIMAR)","Exp.Pacifico2018","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122",0,0,"Células por litro","absent","DIMAR:CCCP:EXP.PACIFICO:2018","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10","Muestra","Red de 20 um","1 L","L","34 muestras de un litro",2018-11-30,2018,11,30,"14:10:00","Zona Nerítica","BME34-10","Bajamar","http://marineregions.org/mrgid/21972","América | Sudamérica | Colombia | Región del Pacífico","América del Sur","Océano Pacífico","Colombia","CO","Cabo Manglares","Nariño","San Andrés de Tumaco",0,1,"1.66775","-79.1605555556","WGS84","Fredy Albeiro Castrillón Valencia","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122","2019-02-11/2019-04-30","Asterionellopsis","Asterionellopsis","F.E. Round in F.E. Round, R.M. Crawford & D.G. Mann, 1990","https://www.marinespecies.org/aphia.php?p=taxdetails&id=149138","urn:lsid:marinespecies.org:taxname:149138","accepted","Chromista","Heterokontophyta","Bacillariophyceae","Fragilariales","Fragilariaceae","Asterionellopsis","Género"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10:47","HumanObservation","Event","Dirección General Marítima (DIMAR)","830.027.904-1","Fitoplancton Expedición Pacífico 2018 - Cabo Manglares","cecoldo.ide_00010","es","Dirección General Marítima (DIMAR)","Sólo para uso no comercial","https://doi.org/10.26640/cecoldo.ide_00010","Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico - Dirección General Marítima (DIMAR)","Exp.Pacifico2018","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122",0,0,"Células por litro","absent","DIMAR:CCCP:EXP.PACIFICO:2018","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10","Muestra","Red de 20 um","1 L","L","34 muestras de un litro",2018-11-30,2018,11,30,"14:10:00","Zona Nerítica","BME34-10","Bajamar","http://marineregions.org/mrgid/21972","América | Sudamérica | Colombia | Región del Pacífico","América del Sur","Océano Pacífico","Colombia","CO","Cabo Manglares","Nariño","San Andrés de Tumaco",0,1,"1.66775","-79.1605555556","WGS84","Fredy Albeiro Castrillón Valencia","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122","2019-02-11/2019-04-30","Bacteriastrum","Bacteriastrum","G. Shadbolt, 1854","https://www.marinespecies.org/aphia.php?p=taxdetails&id=149118","urn:lsid:marinespecies.org:taxname:149118","accepted","Chromista","Heterokontophyta","Bacillariophyceae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Bacteriastrum","Género"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10:48","HumanObservation","Event","Dirección General Marítima (DIMAR)","830.027.904-1","Fitoplancton Expedición Pacífico 2018 - Cabo Manglares","cecoldo.ide_00010","es","Dirección General Marítima (DIMAR)","Sólo para uso no comercial","https://doi.org/10.26640/cecoldo.ide_00010","Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico - Dirección General Marítima (DIMAR)","Exp.Pacifico2018","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122",0,0,"Células por litro","absent","DIMAR:CCCP:EXP.PACIFICO:2018","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10","Muestra","Red de 20 um","1 L","L","34 muestras de un litro",2018-11-30,2018,11,30,"14:10:00","Zona Nerítica","BME34-10","Bajamar","http://marineregions.org/mrgid/21972","América | Sudamérica | Colombia | Región del Pacífico","América del Sur","Océano Pacífico","Colombia","CO","Cabo Manglares","Nariño","San Andrés de Tumaco",0,1,"1.66775","-79.1605555556","WGS84","Fredy Albeiro Castrillón Valencia","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122","2019-02-11/2019-04-30","Biddulphia","Biddulphia","S.F. Gray, 1821","https://www.marinespecies.org/aphia.php?p=taxdetails&id=148967","urn:lsid:marinespecies.org:taxname:148967","accepted","Chromista","Heterokontophyta","Bacillariophyceae","Biddulphiales","Biddulphiaceae","Biddulphia","Género"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10:49","HumanObservation","Event","Dirección General Marítima (DIMAR)","830.027.904-1","Fitoplancton Expedición Pacífico 2018 - Cabo Manglares","cecoldo.ide_00010","es","Dirección General Marítima (DIMAR)","Sólo para uso no comercial","https://doi.org/10.26640/cecoldo.ide_00010","Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico - Dirección General Marítima (DIMAR)","Exp.Pacifico2018","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122",0,0,"Células por litro","absent","DIMAR:CCCP:EXP.PACIFICO:2018","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10","Muestra","Red de 20 um","1 L","L","34 muestras de un litro",2018-11-30,2018,11,30,"14:10:00","Zona Nerítica","BME34-10","Bajamar","http://marineregions.org/mrgid/21972","América | Sudamérica | Colombia | Región del Pacífico","América del Sur","Océano Pacífico","Colombia","CO","Cabo Manglares","Nariño","San Andrés de Tumaco",0,1,"1.66775","-79.1605555556","WGS84","Fredy Albeiro Castrillón Valencia","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122","2019-02-11/2019-04-30","Bacillaria","Bacillaria","J.F. Gmelin, 1788","https://www.marinespecies.org/aphia.php?p=taxdetails&id=149148","urn:lsid:marinespecies.org:taxname:149148","accepted","Chromista","Heterokontophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Bacillaria","Género"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10:50","HumanObservation","Event","Dirección General Marítima (DIMAR)","830.027.904-1","Fitoplancton Expedición Pacífico 2018 - Cabo Manglares","cecoldo.ide_00010","es","Dirección General Marítima (DIMAR)","Sólo para uso no comercial","https://doi.org/10.26640/cecoldo.ide_00010","Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico - Dirección General Marítima (DIMAR)","Exp.Pacifico2018","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122",0,0,"Células por litro","absent","DIMAR:CCCP:EXP.PACIFICO:2018","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10","Muestra","Red de 20 um","1 L","L","34 muestras de un litro",2018-11-30,2018,11,30,"14:10:00","Zona Nerítica","BME34-10","Bajamar","http://marineregions.org/mrgid/21972","América | Sudamérica | Colombia | Región del Pacífico","América del Sur","Océano Pacífico","Colombia","CO","Cabo Manglares","Nariño","San Andrés de Tumaco",0,1,"1.66775","-79.1605555556","WGS84","Fredy Albeiro Castrillón Valencia","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122","2019-02-11/2019-04-30","Blepharocysta","Blepharocysta","Ehrenberg, 1873","https://www.marinespecies.org/aphia.php?p=taxdetails&id=109548","urn:lsid:marinespecies.org:taxname:109548","accepted","Chromista","Myzozoa","Dinophyceae","Peridiniales","Podolampadaceae","Blepharocysta","Género"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10:51","HumanObservation","Event","Dirección General Marítima (DIMAR)","830.027.904-1","Fitoplancton Expedición Pacífico 2018 - Cabo Manglares","cecoldo.ide_00010","es","Dirección General Marítima (DIMAR)","Sólo para uso no comercial","https://doi.org/10.26640/cecoldo.ide_00010","Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico - Dirección General Marítima (DIMAR)","Exp.Pacifico2018","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122",0,0,"Células por litro","absent","DIMAR:CCCP:EXP.PACIFICO:2018","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10","Muestra","Red de 20 um","1 L","L","34 muestras de un litro",2018-11-30,2018,11,30,"14:10:00","Zona Nerítica","BME34-10","Bajamar","http://marineregions.org/mrgid/21972","América | Sudamérica | Colombia | Región del Pacífico","América del Sur","Océano Pacífico","Colombia","CO","Cabo Manglares","Nariño","San Andrés de Tumaco",0,1,"1.66775","-79.1605555556","WGS84","Fredy Albeiro Castrillón Valencia","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122","2019-02-11/2019-04-30","Tripos","Tripos","Bory de Saint-Vincent, 1823","https://www.marinespecies.org/aphia.php?p=taxdetails&id=494057","urn:lsid:marinespecies.org:taxname:494057","accepted","Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Ceratiaceae","Tripos","Género"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10:52","HumanObservation","Event","Dirección General Marítima (DIMAR)","830.027.904-1","Fitoplancton Expedición Pacífico 2018 - Cabo Manglares","cecoldo.ide_00010","es","Dirección General Marítima (DIMAR)","Sólo para uso no comercial","https://doi.org/10.26640/cecoldo.ide_00010","Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico - Dirección General Marítima (DIMAR)","Exp.Pacifico2018","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122",0,0,"Células por litro","absent","DIMAR:CCCP:EXP.PACIFICO:2018","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10","Muestra","Red de 20 um","1 L","L","34 muestras de un litro",2018-11-30,2018,11,30,"14:10:00","Zona Nerítica","BME34-10","Bajamar","http://marineregions.org/mrgid/21972","América | Sudamérica | Colombia | Región del Pacífico","América del Sur","Océano Pacífico","Colombia","CO","Cabo Manglares","Nariño","San Andrés de Tumaco",0,1,"1.66775","-79.1605555556","WGS84","Fredy Albeiro Castrillón Valencia","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122","2019-02-11/2019-04-30","Dictyocha","Dictyocha","Ehrenberg, 1837","https://www.marinespecies.org/aphia.php?p=taxdetails&id=157258","urn:lsid:marinespecies.org:taxname:157258","accepted","Chromista","Ochrophyta","Dictyochophyceae","Dictyochales","Dictyochaceae","Dictyocha","Género"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10:53","HumanObservation","Event","Dirección General Marítima (DIMAR)","830.027.904-1","Fitoplancton Expedición Pacífico 2018 - Cabo Manglares","cecoldo.ide_00010","es","Dirección General Marítima (DIMAR)","Sólo para uso no comercial","https://doi.org/10.26640/cecoldo.ide_00010","Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico - Dirección General Marítima (DIMAR)","Exp.Pacifico2018","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122",5,4974,"Células por litro","present","DIMAR:CCCP:EXP.PACIFICO:2018","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10","Muestra","Red de 20 um","1 L","L","34 muestras de un litro",2018-11-30,2018,11,30,"14:10:00","Zona Nerítica","BME34-10","Bajamar","http://marineregions.org/mrgid/21972","América | Sudamérica | Colombia | Región del Pacífico","América del Sur","Océano Pacífico","Colombia","CO","Cabo Manglares","Nariño","San Andrés de Tumaco",0,1,"1.66775","-79.1605555556","WGS84","Fredy Albeiro Castrillón Valencia","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122","2019-02-11/2019-04-30","Chaetoceros","Chaetoceros","C.G. Ehrenberg, 1844","https://www.marinespecies.org/aphia.php?p=taxdetails&id=148985","urn:lsid:marinespecies.org:taxname:148985","accepted","Chromista","Heterokontophyta","Bacillariophyceae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Género"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10:54","HumanObservation","Event","Dirección General Marítima (DIMAR)","830.027.904-1","Fitoplancton Expedición Pacífico 2018 - Cabo Manglares","cecoldo.ide_00010","es","Dirección General Marítima (DIMAR)","Sólo para uso no comercial","https://doi.org/10.26640/cecoldo.ide_00010","Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico - Dirección General Marítima (DIMAR)","Exp.Pacifico2018","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122",0,0,"Células por litro","absent","DIMAR:CCCP:EXP.PACIFICO:2018","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10","Muestra","Red de 20 um","1 L","L","34 muestras de un litro",2018-11-30,2018,11,30,"14:10:00","Zona Nerítica","BME34-10","Bajamar","http://marineregions.org/mrgid/21972","América | Sudamérica | Colombia | Región del Pacífico","América del Sur","Océano Pacífico","Colombia","CO","Cabo Manglares","Nariño","San Andrés de Tumaco",0,1,"1.66775","-79.1605555556","WGS84","Fredy Albeiro Castrillón Valencia","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122","2019-02-11/2019-04-30","Coscinodiscus","Coscinodiscus","C.G. Ehrenberg, 1839","https://www.marinespecies.org/aphia.php?p=taxdetails&id=148917","urn:lsid:marinespecies.org:taxname:148917","accepted","Chromista","Heterokontophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Género"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10:55","HumanObservation","Event","Dirección General Marítima (DIMAR)","830.027.904-1","Fitoplancton Expedición Pacífico 2018 - Cabo Manglares","cecoldo.ide_00010","es","Dirección General Marítima (DIMAR)","Sólo para uso no comercial","https://doi.org/10.26640/cecoldo.ide_00010","Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico - Dirección General Marítima (DIMAR)","Exp.Pacifico2018","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122",0,0,"Células por litro","absent","DIMAR:CCCP:EXP.PACIFICO:2018","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10","Muestra","Red de 20 um","1 L","L","34 muestras de un litro",2018-11-30,2018,11,30,"14:10:00","Zona Nerítica","BME34-10","Bajamar","http://marineregions.org/mrgid/21972","América | Sudamérica | Colombia | Región del Pacífico","América del Sur","Océano Pacífico","Colombia","CO","Cabo Manglares","Nariño","San Andrés de Tumaco",0,1,"1.66775","-79.1605555556","WGS84","Fredy Albeiro Castrillón Valencia","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122","2019-02-11/2019-04-30","Cymatosira","Cymatosira","A. Grunow, 1862","https://www.marinespecies.org/aphia.php?p=taxdetails&id=149011","urn:lsid:marinespecies.org:taxname:149011","accepted","Chromista","Heterokontophyta","Bacillariophyceae","Cymatosirales","Cymatosiraceae","Cymatosira","Género"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10:56","HumanObservation","Event","Dirección General Marítima (DIMAR)","830.027.904-1","Fitoplancton Expedición Pacífico 2018 - Cabo Manglares","cecoldo.ide_00010","es","Dirección General Marítima (DIMAR)","Sólo para uso no comercial","https://doi.org/10.26640/cecoldo.ide_00010","Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico - Dirección General Marítima (DIMAR)","Exp.Pacifico2018","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122",0,0,"Células por litro","absent","DIMAR:CCCP:EXP.PACIFICO:2018","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10","Muestra","Red de 20 um","1 L","L","34 muestras de un litro",2018-11-30,2018,11,30,"14:10:00","Zona Nerítica","BME34-10","Bajamar","http://marineregions.org/mrgid/21972","América | Sudamérica | Colombia | Región del Pacífico","América del Sur","Océano Pacífico","Colombia","CO","Cabo Manglares","Nariño","San Andrés de Tumaco",0,1,"1.66775","-79.1605555556","WGS84","Fredy Albeiro Castrillón Valencia","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122","2019-02-11/2019-04-30","Dactyliosolen","Dactyliosolen","A.F. Castracane, 1886","https://www.marinespecies.org/aphia.php?p=taxdetails&id=149309","urn:lsid:marinespecies.org:taxname:149309","accepted","Chromista","Heterokontophyta","Bacillariophyceae","Rhizosoleniales","Rhizosoleniaceae","Dactyliosolen","Género"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10:57","HumanObservation","Event","Dirección General Marítima (DIMAR)","830.027.904-1","Fitoplancton Expedición Pacífico 2018 - Cabo Manglares","cecoldo.ide_00010","es","Dirección General Marítima (DIMAR)","Sólo para uso no comercial","https://doi.org/10.26640/cecoldo.ide_00010","Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico - Dirección General Marítima (DIMAR)","Exp.Pacifico2018","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122",0,0,"Células por litro","absent","DIMAR:CCCP:EXP.PACIFICO:2018","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10","Muestra","Red de 20 um","1 L","L","34 muestras de un litro",2018-11-30,2018,11,30,"14:10:00","Zona Nerítica","BME34-10","Bajamar","http://marineregions.org/mrgid/21972","América | Sudamérica | Colombia | Región del Pacífico","América del Sur","Océano Pacífico","Colombia","CO","Cabo Manglares","Nariño","San Andrés de Tumaco",0,1,"1.66775","-79.1605555556","WGS84","Fredy Albeiro Castrillón Valencia","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122","2019-02-11/2019-04-30","Dinophysis","Dinophysis","Ehrenberg, 1839","https://www.marinespecies.org/aphia.php?p=taxdetails&id=109462","urn:lsid:marinespecies.org:taxname:109462","accepted","Chromista","Myzozoa","Dinophyceae","Dinophysales","Dinophysaceae","Dinophysis","Género"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10:58","HumanObservation","Event","Dirección General Marítima (DIMAR)","830.027.904-1","Fitoplancton Expedición Pacífico 2018 - Cabo Manglares","cecoldo.ide_00010","es","Dirección General Marítima (DIMAR)","Sólo para uso no comercial","https://doi.org/10.26640/cecoldo.ide_00010","Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico - Dirección General Marítima (DIMAR)","Exp.Pacifico2018","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122",0,0,"Células por litro","absent","DIMAR:CCCP:EXP.PACIFICO:2018","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10","Muestra","Red de 20 um","1 L","L","34 muestras de un litro",2018-11-30,2018,11,30,"14:10:00","Zona Nerítica","BME34-10","Bajamar","http://marineregions.org/mrgid/21972","América | Sudamérica | Colombia | Región del Pacífico","América del Sur","Océano Pacífico","Colombia","CO","Cabo Manglares","Nariño","San Andrés de Tumaco",0,1,"1.66775","-79.1605555556","WGS84","Fredy Albeiro Castrillón Valencia","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122","2019-02-11/2019-04-30","Ditylum","Ditylum","J.W. Bailey ex L.W. Bailey, 1861","https://www.marinespecies.org/aphia.php?p=taxdetails&id=149022","urn:lsid:marinespecies.org:taxname:149022","accepted","Chromista","Heterokontophyta","Bacillariophyceae","Lithodesmiales","Lithodesmiaceae","Ditylum","Género"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10:59","HumanObservation","Event","Dirección General Marítima (DIMAR)","830.027.904-1","Fitoplancton Expedición Pacífico 2018 - Cabo Manglares","cecoldo.ide_00010","es","Dirección General Marítima (DIMAR)","Sólo para uso no comercial","https://doi.org/10.26640/cecoldo.ide_00010","Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico - Dirección General Marítima (DIMAR)","Exp.Pacifico2018","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122",0,0,"Células por litro","absent","DIMAR:CCCP:EXP.PACIFICO:2018","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10","Muestra","Red de 20 um","1 L","L","34 muestras de un litro",2018-11-30,2018,11,30,"14:10:00","Zona Nerítica","BME34-10","Bajamar","http://marineregions.org/mrgid/21972","América | Sudamérica | Colombia | Región del Pacífico","América del Sur","Océano Pacífico","Colombia","CO","Cabo Manglares","Nariño","San Andrés de Tumaco",0,1,"1.66775","-79.1605555556","WGS84","Fredy Albeiro Castrillón Valencia","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122","2019-02-11/2019-04-30","Eucampia","Eucampia","C.G. Ehrenberg, 1839","https://www.marinespecies.org/aphia.php?p=taxdetails&id=149130","urn:lsid:marinespecies.org:taxname:149130","accepted","Chromista","Heterokontophyta","Bacillariophyceae","Hemiaulales","Hemiaulaceae","Eucampia","Género"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10:60","HumanObservation","Event","Dirección General Marítima (DIMAR)","830.027.904-1","Fitoplancton Expedición Pacífico 2018 - Cabo Manglares","cecoldo.ide_00010","es","Dirección General Marítima (DIMAR)","Sólo para uso no comercial","https://doi.org/10.26640/cecoldo.ide_00010","Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico - Dirección General Marítima (DIMAR)","Exp.Pacifico2018","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122",0,0,"Células por litro","absent","DIMAR:CCCP:EXP.PACIFICO:2018","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10","Muestra","Red de 20 um","1 L","L","34 muestras de un litro",2018-11-30,2018,11,30,"14:10:00","Zona Nerítica","BME34-10","Bajamar","http://marineregions.org/mrgid/21972","América | Sudamérica | Colombia | Región del Pacífico","América del Sur","Océano Pacífico","Colombia","CO","Cabo Manglares","Nariño","San Andrés de Tumaco",0,1,"1.66775","-79.1605555556","WGS84","Fredy Albeiro Castrillón Valencia","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122","2019-02-11/2019-04-30","Gonyaulax","Gonyaulax","Diesing, 1866","https://www.marinespecies.org/aphia.php?p=taxdetails&id=109519","urn:lsid:marinespecies.org:taxname:109519","accepted","Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Gonyaulax","Género"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10:61","HumanObservation","Event","Dirección General Marítima (DIMAR)","830.027.904-1","Fitoplancton Expedición Pacífico 2018 - Cabo Manglares","cecoldo.ide_00010","es","Dirección General Marítima (DIMAR)","Sólo para uso no comercial","https://doi.org/10.26640/cecoldo.ide_00010","Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico - Dirección General Marítima (DIMAR)","Exp.Pacifico2018","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122",1,995,"Células por litro","present","DIMAR:CCCP:EXP.PACIFICO:2018","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-10","Muestra","Red de 20 um","1 L","L","34 muestras de un litro",2018-11-30,2018,11,30,"14:10:00","Zona Nerítica","BME34-10","Bajamar","http://marineregions.org/mrgid/21972","América | Sudamérica | Colombia | Región del Pacífico","América del Sur","Océano Pacífico","Colombia","CO","Cabo Manglares","Nariño","San Andrés de Tumaco",0,1,"1.66775","-79.1605555556","WGS84","Fredy Albeiro Castrillón Valencia","Fredy Albeiro Castrillón Valencia","https://orcid.org/0000-0003-2815-6122","2019-02-11/2019-04-30","Guinardia","Guinardia","H. Peragallo, 1892","https://www.marinespecies.org/aphia.php?p=taxdetails&id=149111","urn:lsid:marinespecies.org:taxname:149111","accepted","Chromista","Heterokontophyta","Bacillariophyceae","Rhizosoleniales","Rhizosoleniaceae","Guinardia","Género"
